     0 , 613970878211738554123419648.00
     1 ,    -535.69
     2 ,     138.11
     3 ,     189.07
     4 ,     682.03
     5 ,    1214.85
     6 ,   -1497.53
     7 ,     894.08
     8 ,    2540.75
     9 ,    1483.89
    10 ,   -2505.28
    11 ,   -3580.23
    12 ,     -30.84
    13 ,     776.84
    14 ,    3747.51
    15 ,  523749.31
    16 ,   -1009.49
    17 ,   -1445.32
    18 ,   -1139.41
    19 ,   -1875.79
    20 ,    3001.76
    21 ,    -570.18
    22 ,   -1061.57
    23 ,   -1164.30
    24 ,    -480.67
    25 ,   -3459.02
    26 ,     243.55
    27 ,   -1487.30
    28 ,    -313.23
    29 ,   -2003.33
    30 ,     522.43
    31 ,    1286.07
    32 ,   -1876.70
    33 ,    -198.11
    34 ,    1008.35
    35 ,   -1196.22
    36 ,    1175.33
    37 ,    2237.34
    38 ,    2691.15
    39 ,    -588.27
    40 ,   -2529.63
    41 ,    1995.83
    42 ,    -677.40
    43 ,   -1058.11
    44 ,    1149.10
    45 ,     722.41
    46 ,     565.80
    47 ,     899.75
    48 ,     -93.07
    49 ,    2491.81
    50 ,    1825.11
    51 ,    2721.74
    52 ,   -1126.19
    53 ,    2830.17
    54 ,   -1803.71
    55 ,  527278.38
    56 ,   -1964.09
    57 ,    -162.18
    58 ,    -231.15
    59 ,    2189.10
    60 ,     343.39
    61 ,     367.38
    62 ,    1670.72
    63 ,   -1455.00
    64 ,   -1796.03
    65 ,    2361.70
    66 ,   -4429.67
    67 ,   -2774.62
    68 ,    3091.69
    69 ,    1457.99
    70 ,     542.19
    71 ,    1127.73
    72 ,     205.85
    73 ,   -1488.81
    74 ,   -1273.70
    75 ,   -1450.66
    76 ,    1800.02
    77 ,   -1461.06
    78 ,    2960.54
    79 ,    2826.98
    80 ,    1509.75
    81 ,    1173.31
    82 ,     542.77
    83 ,    1313.00
    84 ,     287.62
    85 ,    -299.81
    86 ,   -1013.78
    87 ,     797.28
    88 ,    2055.05
    89 ,    1925.04
    90 ,    -276.62
    91 ,   -1382.93
    92 ,    -263.81
    93 ,   -1067.02
    94 ,    1053.49
    95 ,   -3347.07
    96 ,    -747.45
    97 ,   -1571.21
    98 ,    -172.50
    99 ,   -1034.88
